Question,Condition,GeneratedSQL,ExecutionResult,ErrorMessage,Result
What is my student ID?,"{""role"": ""Student"", ""identity"": [""HE001""]}",SELECT student_id FROM Students WHERE student_id = 'HE001',SUCCESS,,"[
  {
    ""student_id"": ""HE001""
  }
]"
What is my major?,"{""role"": ""Student"", ""identity"": [""HE001""]}","SELECT m.major_name
FROM Students AS s
JOIN Majors AS m ON s.major_id = m.major_id
WHERE s.student_id = 'HE001';",SUCCESS,,"[
  {
    ""major_name"": ""Artificial Intelligence""
  }
]"
When did I start studying at the school?,"{""role"": ""Student"", ""identity"": [""HE001""]}",SELECT start_date FROM Students WHERE student_id = 'HE001',SUCCESS,,"[
  {
    ""start_date"": ""2024-09-01""
  }
]"
What was the first semester I studied at the school?,"{""role"": ""Student"", ""identity"": [""HE001""]}",SELECT TOP 1 start_semester FROM Students WHERE student_id = 'HE001' ORDER BY start_date ASC,SUCCESS,,"[
  {
    ""start_semester"": ""FA24""
  }
]"
Find users with birthdays in January.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT username, fullname, user_dob FROM Users WHERE MONTH(user_dob) = 1",SUCCESS,,"[
  {
    ""username"": ""hailt"",
    ""fullname"": ""Hai"",
    ""user_dob"": ""1980-01-01""
  },
  {
    ""username"": ""phuongvtm"",
    ""fullname"": ""Phuong"",
    ""user_dob"": ""1995-01-01""
  },
  {
    ""username"": ""trangbtt"",
    ""fullname"": ""Trang"",
    ""user_dob"": ""1990-01-03""
  },
  {
    ""username"": ""userq"",
    ""fullname"": ""Student Q"",
    ""user_dob"": ""2006-01-28""
  }
]"
Find students whose names start with 'Student'.,"{""role"": ""Training Manager"", ""identity"": []}",SELECT Users.fullname FROM Users WHERE Users.fullname LIKE 'Student%',SUCCESS,,"[
  {
    ""fullname"": ""Student A""
  },
  {
    ""fullname"": ""Student B""
  },
  {
    ""fullname"": ""Student C""
  },
  {
    ""fullname"": ""Student D""
  },
  {
    ""fullname"": ""Student E""
  },
  {
    ""fullname"": ""Student F""
  },
  {
    ""fullname"": ""Student G""
  },
  {
    ""fullname"": ""Student H""
  },
  {
    ""fullname"": ""Student I""
  },
  {
    ""fullname"": ""Student J""
  },
  {
    ""fullname"": ""Student K""
  },
  {
    ""fullname"": ""Student L""
  },
  {
    ""fullname"": ""Student M""
  },
  {
    ""fullname"": ""Student N""
  },
  {
    ""fullname"": ""Student O""
  },
  {
    ""fullname"": ""Student P""
  },
  {
    ""fullname"": ""Student Q""
  },
  {
    ""fullname"": ""Student R""
  },
  {
    ""fullname"": ""Student S""
  },
  {
    ""fullname"": ""Student T""
  }
]"
How many female students are in the 'Software Engineering' major?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT COUNT(*) FROM Students AS T1 INNER JOIN Majors AS T2 ON T1.major_id = T2.major_id INNER JOIN Users AS T3 ON T1.student_id = T3.user_id WHERE T2.major_name = 'Software Engineering' AND T3.user_gender = 'female',SUCCESS,,"[
  {
    """": 3
  }
]"
Show the list of students in the 'Artificial Intelligence' major.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT Students.student_id, Users.fullname
FROM Students
INNER JOIN Majors ON Students.major_id = Majors.major_id
INNER JOIN Users ON Students.student_id = Users.user_id
WHERE Majors.major_name = 'Artificial Intelligence';",SUCCESS,,"[
  {
    ""student_id"": ""HE001"",
    ""fullname"": ""Student A""
  },
  {
    ""student_id"": ""HE002"",
    ""fullname"": ""Student B""
  },
  {
    ""student_id"": ""HE003"",
    ""fullname"": ""Student C""
  },
  {
    ""student_id"": ""HE004"",
    ""fullname"": ""Student D""
  },
  {
    ""student_id"": ""HE005"",
    ""fullname"": ""Student E""
  }
]"
Show a list of students (ID and name) and their majors.,"{""role"": ""Training Manager"", ""identity"": []}","SELECT Students.student_id, Users.fullname, Majors.major_name
FROM Students
INNER JOIN Users ON Students.student_id = Users.user_id
INNER JOIN Majors ON Students.major_id = Majors.major_id;",SUCCESS,,"[
  {
    ""student_id"": ""HE001"",
    ""fullname"": ""Student A"",
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""student_id"": ""HE002"",
    ""fullname"": ""Student B"",
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""student_id"": ""HE003"",
    ""fullname"": ""Student C"",
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""student_id"": ""HE004"",
    ""fullname"": ""Student D"",
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""student_id"": ""HE005"",
    ""fullname"": ""Student E"",
    ""major_name"": ""Artificial Intelligence""
  },
  {
    ""student_id"": ""HE006"",
    ""fullname"": ""Student F"",
    ""major_name"": ""Information System""
  },
  {
    ""student_id"": ""HE007"",
    ""fullname"": ""Student G"",
    ""major_name"": ""Information System""
  },
  {
    ""student_id"": ""HE008"",
    ""fullname"": ""Student H"",
    ""major_name"": ""Information System""
  },
  {
    ""student_id"": ""HE009"",
    ""fullname"": ""Student I"",
    ""major_name"": ""Information System""
  },
  {
    ""student_id"": ""HE010"",
    ""fullname"": ""Student J"",
    ""major_name"": ""Information System""
  },
  {
    ""student_id"": ""HE011"",
    ""fullname"": ""Student K"",
    ""major_name"": ""Information Assurance""
  },
  {
    ""student_id"": ""HE012"",
    ""fullname"": ""Student L"",
    ""major_name"": ""Information Assurance""
  },
  {
    ""student_id"": ""HE013"",
    ""fullname"": ""Student M"",
    ""major_name"": ""Information Assurance""
  },
  {
    ""student_id"": ""HE014"",
    ""fullname"": ""Student N"",
    ""major_name"": ""Information Assurance""
  },
  {
    ""student_id"": ""HE015"",
    ""fullname"": ""Student O"",
    ""major_name"": ""Information Assurance""
  },
  {
    ""student_id"": ""HE016"",
    ""fullname"": ""Student P"",
    ""major_name"": ""Software Engineering""
  },
  {
    ""student_id"": ""HE017"",
    ""fullname"": ""Student Q"",
    ""major_name"": ""Software Engineering""
  },
  {
    ""student_id"": ""HE018"",
    ""fullname"": ""Student R"",
    ""major_name"": ""Software Engineering""
  },
  {
    ""student_id"": ""HE019"",
    ""fullname"": ""Student S"",
    ""major_name"": ""Software Engineering""
  },
  {
    ""student_id"": ""HE020"",
    ""fullname"": ""Student T"",
    ""major_name"": ""Software Engineering""
  }
]"
How many students are there in total at the school?,"{""role"": ""Training Manager"", ""identity"": []}",SELECT COUNT(*) FROM Students,SUCCESS,,"[
  {
    """": 20
  }
]"
