Question,SQL,Result,User_info
How many times was I absent in the Programming Fundamentals course?,"SELECT
  COUNT(T1.status)
FROM Attendance AS T1
INNER JOIN Enrollments AS T2
  ON T1.enrollment_id = T2.enrollment_id
INNER JOIN ClassCourse AS T3
  ON T2.class_course_id = T3.class_course_id
INNER JOIN Courses AS T4
  ON T3.course_id = T4.course_id
WHERE
  T2.student_id = 'HE00001'
  AND T4.course_name = 'Programming Fundamentals'
  AND T1.status = 'Absent';","[
    {
        """": 2
    }
]","Role: Student, ID: HE00001"
How many times have I been absent from the Programming Fundamentals course?,"SELECT
  COUNT(T1.status)
FROM Attendance AS T1
JOIN Enrollments AS T2
  ON T1.enrollment_id = T2.enrollment_id
JOIN ClassCourse AS T3
  ON T2.class_course_id = T3.class_course_id
JOIN Courses AS T4
  ON T3.course_id = T4.course_id
WHERE
  T2.student_id = 'HE00001'
  AND T4.course_name = 'Programming Fundamentals'
  AND T1.status = 'Absent'","[
    {
        """": 2
    }
]","Role: Student, ID: HE00001"
How many unique students are enrolled in the SU24 semester?,"SELECT
    COUNT(DISTINCT T1.student_id)
FROM Enrollments AS T1
JOIN ClassCourse AS T2
    ON T1.class_course_id = T2.class_course_id
WHERE
    T2.semester = 'SU24'","[
    {
        """": 50
    }
]","Role: Training Manager, ID: TM001"
Show me the number of students who passed and failed each course during the Spring 2024 semester.,"SELECT
    C.course_id,
    C.course_name,
    COUNT(CASE WHEN E.status = 'Passed' THEN 1 END) AS passed_count,
    COUNT(CASE WHEN E.status = 'Failed' THEN 1 END) AS failed_count
FROM Enrollments AS E
JOIN ClassCourse AS CC
    ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
    ON CC.course_id = C.course_id
WHERE
    CC.semester = 'SP24'
GROUP BY
    C.course_id,
    C.course_name","[
    {
        ""course_id"": ""CSD201"",
        ""course_name"": ""Data Structures and Algorithms"",
        ""passed_count"": 13,
        ""failed_count"": 4
    },
    {
        ""course_id"": ""DBI202"",
        ""course_name"": ""Database Systems"",
        ""passed_count"": 12,
        ""failed_count"": 4
    },
    {
        ""course_id"": ""MAD101"",
        ""course_name"": ""Mathematics for Developers"",
        ""passed_count"": 7,
        ""failed_count"": 2
    },
    {
        ""course_id"": ""PRF192"",
        ""course_name"": ""Programming Fundamentals"",
        ""passed_count"": 20,
        ""failed_count"": 6
    }
]","Role: Training Manager, ID: TM001"
"For the 'SP24' semester, can you show me the pass and fail counts for each course?","SELECT
  C.course_name,
  COUNT(CASE WHEN E.status = 'Passed' THEN 1 END) AS pass_count,
  COUNT(CASE WHEN E.status = 'Failed' THEN 1 END) AS fail_count
FROM Courses AS C
JOIN ClassCourse AS CC
  ON C.course_id = CC.course_id
JOIN Enrollments AS E
  ON CC.class_course_id = E.class_course_id
WHERE
  CC.semester = 'SP24'
GROUP BY
  C.course_id,
  C.course_name","[
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""pass_count"": 13,
        ""fail_count"": 4
    },
    {
        ""course_name"": ""Database Systems"",
        ""pass_count"": 12,
        ""fail_count"": 4
    },
    {
        ""course_name"": ""Mathematics for Developers"",
        ""pass_count"": 7,
        ""fail_count"": 2
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""pass_count"": 20,
        ""fail_count"": 6
    }
]","Role: Training Manager, ID: TM001"
What are the pass and fail counts for each course offered in the SP24 semester?,"SELECT
  C.course_name,
  COUNT(CASE WHEN E.status = 'Passed' THEN 1 END) AS pass_count,
  COUNT(CASE WHEN E.status = 'Failed' THEN 1 END) AS fail_count
FROM Courses AS C
JOIN ClassCourse AS CC
  ON C.course_id = CC.course_id
JOIN Enrollments AS E
  ON CC.class_course_id = E.class_course_id
WHERE
  CC.semester = 'SP24'
GROUP BY
  C.course_id,
  C.course_name","[
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""pass_count"": 13,
        ""fail_count"": 4
    },
    {
        ""course_name"": ""Database Systems"",
        ""pass_count"": 12,
        ""fail_count"": 4
    },
    {
        ""course_name"": ""Mathematics for Developers"",
        ""pass_count"": 7,
        ""fail_count"": 2
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""pass_count"": 20,
        ""fail_count"": 6
    }
]","Role: Training Manager, ID: TM001"
"Could you list all the dates I was marked absent, along with the name of the course for each absence?","SELECT
  C.course_name,
  S.start_time
FROM Attendance AS A
JOIN Enrollments AS E
  ON A.enrollment_id = E.enrollment_id
JOIN Schedules AS S
  ON A.schedule_id = S.schedule_id
JOIN ClassCourse AS CC
  ON S.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  E.student_id = 'HE00001' AND A.status = 'Absent';","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""start_time"": ""2024-05-27 07:30:00""
    },
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""start_time"": ""2024-02-06 07:30:00""
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""start_time"": ""2024-05-14 07:30:00""
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""start_time"": ""2024-01-22 07:30:00""
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""start_time"": ""2024-02-26 07:30:00""
    }
]","Role: Student, ID: HE00001"
"Could you provide a count of students who have passed, failed, and are still studying for each course in the SU24 semester?","SELECT
  C.course_name,
  E.status,
  COUNT(E.student_id) AS number_of_students
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  CC.semester = 'SU24'
GROUP BY
  C.course_name,
  E.status","[
    {
        ""course_name"": ""Artificial Intelligence and Machine Learning"",
        ""status"": ""Studying"",
        ""number_of_students"": 13
    },
    {
        ""course_name"": ""Information Assurance and Security"",
        ""status"": ""Studying"",
        ""number_of_students"": 12
    },
    {
        ""course_name"": ""Natural Language Processing"",
        ""status"": ""Studying"",
        ""number_of_students"": 13
    },
    {
        ""course_name"": ""Network Security"",
        ""status"": ""Studying"",
        ""number_of_students"": 12
    },
    {
        ""course_name"": ""Operating Systems"",
        ""status"": ""Studying"",
        ""number_of_students"": 12
    },
    {
        ""course_name"": ""Software Engineering Principles"",
        ""status"": ""Studying"",
        ""number_of_students"": 13
    },
    {
        ""course_name"": ""Software Project Management"",
        ""status"": ""Studying"",
        ""number_of_students"": 13
    },
    {
        ""course_name"": ""Theory of Computation"",
        ""status"": ""Studying"",
        ""number_of_students"": 12
    }
]","Role: Training Manager, ID: TM001"
"What is the average grade for each course, and how many students have completed it?","SELECT
  C.course_name,
  AVG(E.average) AS average_grade,
  COUNT(E.student_id) AS number_of_students
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  E.status IN ('Passed', 'Failed')
GROUP BY
  C.course_id,
  C.course_name","[
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""average_grade"": 6.711764705882352,
        ""number_of_students"": 17
    },
    {
        ""course_name"": ""Database Systems"",
        ""average_grade"": 6.56875,
        ""number_of_students"": 16
    },
    {
        ""course_name"": ""Mathematics for Developers"",
        ""average_grade"": 6.755555555555556,
        ""number_of_students"": 9
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""average_grade"": 6.538461538461538,
        ""number_of_students"": 26
    }
]","Role: Training Manager, ID: TM001"
"What courses did I take in the SP24 semester, and what was my final average grade for each?","SELECT
  C.course_name,
  E.average
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
JOIN Courses AS C
  ON CC.course_id = C.course_id
WHERE
  E.student_id = 'HE00001'
  AND CC.semester = 'SP24'","[
    {
        ""course_name"": ""Data Structures and Algorithms"",
        ""average"": 8.0
    },
    {
        ""course_name"": ""Programming Fundamentals"",
        ""average"": 7.5
    }
]","Role: Student, ID: HE00001"
