Category,Question,SQL,Result,Condition,Table Used,Element
Courses,How many course names start with 'I'?,"SELECT
  COUNT(*)
FROM Courses
WHERE
  course_name LIKE 'I%';","[
    {
        """": 2
    }
]","{""role"": ""Student"", ""identity"": []}",['Courses'],"['FROM', 'SELECT', 'WHERE']"
Courses,How many courses are offered?,"SELECT
  COUNT(*)
FROM Courses;","[
    {
        """": 20
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}",['Courses'],"['FROM', 'SELECT']"
Enrollments & Grades,How many courses am I enrolled in?,"SELECT
  COUNT(DISTINCT CC.course_id)
FROM Enrollments AS E
JOIN ClassCourse AS CC
  ON E.class_course_id = CC.class_course_id
WHERE
  E.student_id = 'HE00001';","[
    {
        """": 4
    }
]","{""role"": ""Student"", ""identity"": [""HE00001""]}","['ClassCourse', 'Enrollments']","['AS', 'DISTINCT', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Departments,How many departments are there?,"SELECT
  COUNT(*)
FROM Departments;","[
    {
        """": 4
    }
]","{""role"": ""Training Manager"", ""identity"": []}",['Departments'],"['FROM', 'SELECT']"
User/Student Information,How many students are there in total at the school?,"SELECT
  COUNT(DISTINCT student_id)
FROM Students;","[
    {
        """": 50
    }
]","{""role"": ""Training Manager"", ""identity"": []}",['Students'],"['DISTINCT', 'FROM', 'SELECT']"
User/Student Information,How many female students are in the 'Software Engineering' major?,"SELECT
  COUNT(DISTINCT S.student_id)
FROM Students AS S
JOIN Majors AS M
  ON S.major_id = M.major_id
JOIN Users AS U
  ON S.student_id = U.user_id
WHERE
  M.major_name = 'Software Engineering' AND U.user_gender = 'female';","[
    {
        """": 7
    }
]","{""role"": ""Training Manager"", ""identity"": []}","['Majors', 'Students', 'Users']","['AND', 'AS', 'DISTINCT', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
Course and Class Relationships,How many class are there in the SP24 semester?,"SELECT
  COUNT(DISTINCT class_id)
FROM ClassCourse
WHERE
  semester = 'SP24';","[
    {
        """": 8
    }
]","{""role"": ""Training Manager"", ""identity"": []}",['ClassCourse'],"['DISTINCT', 'FROM', 'SELECT', 'WHERE']"
Classes,How many classes are offered?,"SELECT
  COUNT(*)
FROM Classes;","[
    {
        """": 8
    }
]","{""role"": ""Training Manager"", ""identity"": []}",['Classes'],"['FROM', 'SELECT']"
Course and Class Relationships,Find the classes offered in the SP24 semester.,"SELECT DISTINCT
  class_id
FROM ClassCourse
WHERE
  semester = 'SP24';","[
    {
        ""class_id"": ""AI_K1_FA23""
    },
    {
        ""class_id"": ""AI_K2_SP24""
    },
    {
        ""class_id"": ""CS_K1_FA23""
    },
    {
        ""class_id"": ""CS_K2_SP24""
    },
    {
        ""class_id"": ""IA_K1_FA23""
    },
    {
        ""class_id"": ""IA_K2_SU24""
    },
    {
        ""class_id"": ""SE_K1_SP24""
    },
    {
        ""class_id"": ""SE_K2_SU24""
    }
]","{""role"": ""Training Manager"", ""identity"": []}",['ClassCourse'],"['DISTINCT', 'FROM', 'SELECT', 'WHERE']"
Classes,List all available classes.,"SELECT
  class_id
FROM Classes;","[
    {
        ""class_id"": ""AI_K1_FA23""
    },
    {
        ""class_id"": ""AI_K2_SP24""
    },
    {
        ""class_id"": ""CS_K1_FA23""
    },
    {
        ""class_id"": ""CS_K2_SP24""
    },
    {
        ""class_id"": ""IA_K1_FA23""
    },
    {
        ""class_id"": ""IA_K2_SU24""
    },
    {
        ""class_id"": ""SE_K1_SP24""
    },
    {
        ""class_id"": ""SE_K2_SU24""
    }
]","{""role"": ""Training Manager"", ""identity"": []}",['Classes'],"['FROM', 'SELECT']"
Complex/Combined Scenarios,List all classes on Monday this semester.,"SELECT DISTINCT
  c.class_id
FROM Classes AS c
JOIN ClassCourse AS cc
  ON c.class_id = cc.class_id
JOIN Schedules AS s
  ON cc.class_course_id = s.class_course_id
WHERE
  DATENAME(weekday, S.start_time) = 'Monday' AND CC.semester = 'SU24';","[
    {
        ""class_id"": ""AI_K1_FA23""
    },
    {
        ""class_id"": ""CS_K2_SP24""
    },
    {
        ""class_id"": ""IA_K1_FA23""
    },
    {
        ""class_id"": ""SE_K2_SU24""
    }
]","{""role"": ""Training Manager"", ""identity"": []}","['ClassCourse', 'Classes', 'Schedules']","['AND', 'AS', 'DISTINCT', 'FROM', 'JOIN', 'ON', 'SELECT', 'WHERE']"
